zip_code,county_fips_full,state_fips,county_fips,county_name,area_ratio
00601,72001,72,001,Adjuntas Municipio,0.987616
00601,72141,72,141,Utuado Municipio,0.012384
00602,72003,72,003,Aguada Municipio,0.999789
00602,72011,72,011,Añasco Municipio,0.000211
00603,72005,72,005,Aguadilla Municipio,0.997645
00603,72099,72,099,Moca Municipio,0.002355
00606,72093,72,093,Maricao Municipio,0.822694
00606,72121,72,121,Sabana Grande Municipio,0.060618
00606,72153,72,153,Yauco Municipio,0.116689
00610,72003,72,003,Aguada Municipio,0.000854
00610,72011,72,011,Añasco Municipio,0.96755
00610,72083,72,083,Las Marías Municipio,0.003568
00610,72099,72,099,Moca Municipio,0.028028
00611,72141,72,141,Utuado Municipio,1.0
00612,72013,72,013,Arecibo Municipio,0.989648
00612,72017,72,017,Barceloneta Municipio,0.000897
00612,72065,72,065,Hatillo Municipio,0.009455
00616,72013,72,013,Arecibo Municipio,1.0
00617,72017,72,017,Barceloneta Municipio,0.996507
00617,72054,72,054,Florida Municipio,0.003493
00622,72023,72,023,Cabo Rojo Municipio,1.0
00623,72023,72,023,Cabo Rojo Municipio,1.0
00624,72111,72,111,Peñuelas Municipio,0.95013
00624,72113,72,113,Ponce Municipio,0.04987
00627,72027,72,027,Camuy Municipio,0.999692
00627,72115,72,115,Quebradillas Municipio,0.000308
00631,72001,72,001,Adjuntas Municipio,0.505353
00631,72081,72,081,Lares Municipio,0.494647
00636,72125,72,125,San Germán Municipio,1.0
00637,72079,72,079,Lajas Municipio,0.017828
00637,72121,72,121,Sabana Grande Municipio,0.94003
00637,72125,72,125,San Germán Municipio,0.042141
00638,72039,72,039,Ciales Municipio,0.918893
00638,72091,72,091,Manatí Municipio,0.006314
00638,72107,72,107,Orocovis Municipio,0.074793
00641,72001,72,001,Adjuntas Municipio,0.000359
00641,72141,72,141,Utuado Municipio,0.999641
00646,72051,72,051,Dorado Municipio,0.97149
00646,72143,72,143,Vega Alta Municipio,0.02851
00647,72055,72,055,Guánica Municipio,0.982114
00647,72079,72,079,Lajas Municipio,0.017886
00650,72013,72,013,Arecibo Municipio,0.023866
00650,72017,72,017,Barceloneta Municipio,0.010621
00650,72039,72,039,Ciales Municipio,0.028982
00650,72054,72,054,Florida Municipio,0.477544
00650,72091,72,091,Manatí Municipio,0.04266
00650,72141,72,141,Utuado Municipio,0.416327
00652,72013,72,013,Arecibo Municipio,1.0
00653,72055,72,055,Guánica Municipio,0.974452
00653,72121,72,121,Sabana Grande Municipio,0.025548
00656,72059,72,059,Guayanilla Municipio,0.970436
00656,72153,72,153,Yauco Municipio,0.029564
00659,72065,72,065,Hatillo Municipio,1.0
00660,72067,72,067,Hormigueros Municipio,1.0
00662,72071,72,071,Isabela Municipio,1.0
00664,72073,72,073,Jayuya Municipio,0.949342
00664,72141,72,141,Utuado Municipio,0.050658
00667,72079,72,079,Lajas Municipio,0.980869
00667,72125,72,125,San Germán Municipio,0.019131
00669,72081,72,081,Lares Municipio,0.934355
00669,72083,72,083,Las Marías Municipio,0.026799
00669,72131,72,131,San Sebastián Municipio,0.001001
00669,72141,72,141,Utuado Municipio,0.037845
00670,72011,72,011,Añasco Municipio,0.035469
00670,72083,72,083,Las Marías Municipio,0.957025
00670,72093,72,093,Maricao Municipio,0.003202
00670,72097,72,097,Mayagüez Municipio,0.004305
00674,72091,72,091,Manatí Municipio,0.994483
00674,72145,72,145,Vega Baja Municipio,0.005517
00676,72003,72,003,Aguada Municipio,0.007988
00676,72005,72,005,Aguadilla Municipio,0.00011
00676,72099,72,099,Moca Municipio,0.991901
00677,72003,72,003,Aguada Municipio,0.007967
00677,72011,72,011,Añasco Municipio,0.01132
00677,72117,72,117,Rincón Municipio,0.980713
00678,72071,72,071,Isabela Municipio,0.174913
00678,72115,72,115,Quebradillas Municipio,0.777897
00678,72131,72,131,San Sebastián Municipio,0.047189
00680,72011,72,011,Añasco Municipio,0.024145
00680,72097,72,097,Mayagüez Municipio,0.941535
00680,72125,72,125,San Germán Municipio,0.034319
00682,72067,72,067,Hormigueros Municipio,0.001666
00682,72097,72,097,Mayagüez Municipio,0.998334
00683,72125,72,125,San Germán Municipio,1.0
00685,72071,72,071,Isabela Municipio,0.113657
00685,72099,72,099,Moca Municipio,0.009697
00685,72131,72,131,San Sebastián Municipio,0.876646
00687,72101,72,101,Morovis Municipio,1.0
00688,72013,72,013,Arecibo Municipio,1.0
00690,72005,72,005,Aguadilla Municipio,1.0
00692,72143,72,143,Vega Alta Municipio,0.998488
00692,72145,72,145,Vega Baja Municipio,0.001512
00693,72091,72,091,Manatí Municipio,0.002778
00693,72143,72,143,Vega Alta Municipio,0.014405
00693,72145,72,145,Vega Baja Municipio,0.982817
00694,72145,72,145,Vega Baja Municipio,1.0
00698,72059,72,059,Guayanilla Municipio,0.021896
